instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weather_desc,weather_description
3625,,2,0,6,22,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.57,0.2239,49,141,190,Clear,"Clear, Few clouds, Partly cloudy"
3626,,2,0,6,23,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6212,0.57,0.0,29,121,150,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3627,,2,0,6,0,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6212,0.57,0.0896,23,90,113,Clear,"Clear, Few clouds, Partly cloudy"
3628,,2,0,6,1,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6212,0.61,0.1642,26,70,96,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3629,,2,0,6,2,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6212,0.61,0.1642,16,48,64,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3630,,2,0,6,3,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.6061,0.65,0.1642,22,25,47,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3631,,2,0,6,4,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.6061,0.65,0.1642,4,8,12,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3632,,2,0,6,5,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.6061,0.61,0.1343,1,5,6,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3633,,2,0,6,6,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.6061,0.61,0.1045,10,11,21,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3634,,2,0,6,7,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5909,0.73,0.2537,8,19,27,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3635,,2,0,6,8,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5909,0.73,0.2537,24,74,98,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3636,,2,0,6,9,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6,0.5758,0.78,0.194,53,111,164,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3637,,2,0,6,10,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.5909,0.73,0.0896,83,168,251,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3638,,2,0,6,11,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6061,0.69,0.1045,121,214,335,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3639,,2,0,6,12,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6061,0.69,0.1045,123,212,335,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3640,,2,0,6,13,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.65,0.1045,154,213,367,Clear,"Clear, Few clouds, Partly cloudy"
3641,,2,0,6,14,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.58,0.1642,161,224,385,Clear,"Clear, Few clouds, Partly cloudy"
3642,,2,0,6,15,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.54,0.0,161,256,417,Clear,"Clear, Few clouds, Partly cloudy"
3643,,2,0,6,16,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6667,0.51,0.0896,138,260,398,Clear,"Clear, Few clouds, Partly cloudy"
3644,,2,0,6,17,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6667,0.51,0.0,126,264,390,Clear,"Clear, Few clouds, Partly cloudy"
3645,,2,0,6,18,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.58,0.1045,124,239,363,Clear,"Clear, Few clouds, Partly cloudy"
3646,,2,0,6,19,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.65,0.1642,108,249,357,Clear,"Clear, Few clouds, Partly cloudy"
3647,,2,0,6,20,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.69,0.194,84,195,279,Clear,"Clear, Few clouds, Partly cloudy"
3648,,2,0,6,21,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.73,0.1642,54,111,165,Clear,"Clear, Few clouds, Partly cloudy"
3649,,2,0,6,22,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5909,0.78,0.2239,36,94,130,Clear,"Clear, Few clouds, Partly cloudy"
3650,,2,0,6,23,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.78,0.1343,25,61,86,Clear,"Clear, Few clouds, Partly cloudy"
3651,,2,0,6,0,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.78,0.1343,11,18,29,Clear,"Clear, Few clouds, Partly cloudy"
3652,,2,0,6,1,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5606,0.83,0.1343,9,5,14,Clear,"Clear, Few clouds, Partly cloudy"
3653,,2,0,6,2,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.58,0.5455,0.88,0.1045,4,4,8,Clear,"Clear, Few clouds, Partly cloudy"
3654,,2,0,6,3,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.58,0.5455,0.88,0.0,2,3,5,Clear,"Clear, Few clouds, Partly cloudy"
3655,,2,0,6,4,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.56,0.5303,0.94,0.1045,4,4,8,Clear,"Clear, Few clouds, Partly cloudy"
3656,,2,0,6,5,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.56,0.5303,0.88,0.0896,7,24,31,Clear,"Clear, Few clouds, Partly cloudy"
3657,,2,0,6,6,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.58,0.5455,0.88,0.0,11,101,112,Clear,"Clear, Few clouds, Partly cloudy"
3658,,2,0,6,7,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5909,0.78,0.1045,18,281,299,Clear,"Clear, Few clouds, Partly cloudy"
3659,,2,0,6,8,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.73,0.0896,28,410,438,Clear,"Clear, Few clouds, Partly cloudy"
3660,,2,0,6,9,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.58,0.1642,26,162,188,Clear,"Clear, Few clouds, Partly cloudy"
3661,,2,0,6,10,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6667,0.51,0.2239,31,64,95,Clear,"Clear, Few clouds, Partly cloudy"
3662,,2,0,6,11,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6667,0.42,0.1343,39,72,111,Clear,"Clear, Few clouds, Partly cloudy"
3663,,2,0,6,12,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.37,0.1642,25,128,153,Clear,"Clear, Few clouds, Partly cloudy"
3664,,2,0,6,13,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.35,0.0,28,152,180,Clear,"Clear, Few clouds, Partly cloudy"
3665,,2,0,6,14,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.31,0.1343,46,99,145,Clear,"Clear, Few clouds, Partly cloudy"
3666,,2,0,6,15,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.697,0.29,0.194,38,127,165,Clear,"Clear, Few clouds, Partly cloudy"
3667,,2,0,6,16,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.33,0.1343,34,233,267,Clear,"Clear, Few clouds, Partly cloudy"
3668,,2,0,6,17,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.6818,0.33,0.2836,63,516,579,Clear,"Clear, Few clouds, Partly cloudy"
3669,,2,0,6,18,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6667,0.31,0.1343,56,500,556,Clear,"Clear, Few clouds, Partly cloudy"
3670,,2,0,6,19,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6667,0.54,0.194,64,343,407,Clear,"Clear, Few clouds, Partly cloudy"
3671,,2,0,6,20,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.61,0.1343,59,277,336,Clear,"Clear, Few clouds, Partly cloudy"
3672,,2,0,6,21,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.57,0.0896,29,160,189,Clear,"Clear, Few clouds, Partly cloudy"
3673,,2,0,6,22,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.61,0.0896,36,137,173,Clear,"Clear, Few clouds, Partly cloudy"
3674,,2,0,6,23,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.69,0.0896,5,55,60,Clear,"Clear, Few clouds, Partly cloudy"
3675,,2,0,6,0,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.6061,0.65,0.0896,5,15,20,Clear,"Clear, Few clouds, Partly cloudy"
3676,,2,0,6,1,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.6061,0.69,0.1343,2,2,4,Clear,"Clear, Few clouds, Partly cloudy"
3677,,2,0,6,2,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5909,0.73,0.0896,3,2,5,Clear,"Clear, Few clouds, Partly cloudy"
3678,,2,0,6,3,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5909,0.73,0.0896,1,1,2,Clear,"Clear, Few clouds, Partly cloudy"
3679,,2,0,6,4,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.58,0.5455,0.83,0.1343,2,3,5,Clear,"Clear, Few clouds, Partly cloudy"
3680,,2,0,6,5,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.58,0.5455,0.88,0.1642,2,30,32,Clear,"Clear, Few clouds, Partly cloudy"
3681,,2,0,6,6,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.6,0.5758,0.78,0.1343,10,116,126,Clear,"Clear, Few clouds, Partly cloudy"
3682,,2,0,6,7,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.64,0.6061,0.69,0.194,23,311,334,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3683,,2,0,6,8,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.68,0.6364,0.61,0.1343,45,432,477,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3684,,2,0,6,9,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.6667,0.58,0.2239,27,190,217,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3685,,2,0,6,10,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.76,0.6818,0.48,0.194,37,86,123,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3686,,2,0,6,11,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.76,0.697,0.52,0.2537,38,113,151,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3687,,2,0,6,12,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.8,0.7273,0.46,0.2836,42,141,183,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3688,,2,0,6,13,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.8,0.7273,0.43,0.2537,55,141,196,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3689,,2,0,6,14,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.8,0.7273,0.43,0.2836,34,112,146,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3690,,2,0,6,15,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.82,0.7424,0.41,0.3284,56,127,183,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3691,,2,0,6,16,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.7121,0.38,0.2239,55,253,308,Clear,"Clear, Few clouds, Partly cloudy"
3692,,2,0,6,17,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.7273,0.43,0.2537,64,475,539,Clear,"Clear, Few clouds, Partly cloudy"
3693,,2,0,6,18,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.697,0.46,0.2836,72,479,551,Clear,"Clear, Few clouds, Partly cloudy"
3694,,2,0,6,19,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.6818,0.48,0.2537,69,355,424,Clear,"Clear, Few clouds, Partly cloudy"
3695,,2,0,6,20,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6818,0.56,0.1343,45,301,346,Clear,"Clear, Few clouds, Partly cloudy"
3696,,2,0,6,21,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6818,0.7,0.1343,31,187,218,Clear,"Clear, Few clouds, Partly cloudy"
3697,,2,0,6,22,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.7,0.6515,0.65,0.1343,27,126,153,Clear,"Clear, Few clouds, Partly cloudy"
3698,,2,0,6,23,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.79,0.1045,18,72,90,Clear,"Clear, Few clouds, Partly cloudy"
3699,,2,0,6,0,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.5909,0.89,0.1343,12,29,41,Clear,"Clear, Few clouds, Partly cloudy"
3700,,2,0,6,1,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6061,0.78,0.0,3,20,23,Clear,"Clear, Few clouds, Partly cloudy"
3701,,2,0,6,2,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5758,0.89,0.0896,0,7,7,Clear,"Clear, Few clouds, Partly cloudy"
3702,,2,0,6,3,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5758,0.89,0.0896,2,1,3,Clear,"Clear, Few clouds, Partly cloudy"
3703,,2,0,6,4,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5758,0.83,0.0,0,6,6,Clear,"Clear, Few clouds, Partly cloudy"
3704,,2,0,6,5,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.62,0.5606,0.88,0.0,0,21,21,Clear,"Clear, Few clouds, Partly cloudy"
3705,,2,0,6,6,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.64,0.5758,0.89,0.1343,13,103,116,Clear,"Clear, Few clouds, Partly cloudy"
3706,,2,0,6,7,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6212,0.74,0.1045,24,329,353,Clear,"Clear, Few clouds, Partly cloudy"
3707,,2,0,6,8,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.7121,0.58,0.1642,46,435,481,Clear,"Clear, Few clouds, Partly cloudy"
3708,,2,0,6,9,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.7121,0.58,0.1642,34,168,202,Clear,"Clear, Few clouds, Partly cloudy"
3709,,2,0,6,10,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7424,0.43,0.2239,27,63,90,Clear,"Clear, Few clouds, Partly cloudy"
3710,,2,0,6,11,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7576,0.41,0.194,28,106,134,Clear,"Clear, Few clouds, Partly cloudy"
3711,,2,0,6,12,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.88,0.8182,0.42,0.1343,15,134,149,Clear,"Clear, Few clouds, Partly cloudy"
3712,,2,0,6,13,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.9,0.8485,0.42,0.0,20,116,136,Clear,"Clear, Few clouds, Partly cloudy"
3713,,2,0,6,14,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8788,0.4,0.2537,44,111,155,Clear,"Clear, Few clouds, Partly cloudy"
3714,,2,0,6,15,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8788,0.4,0.1642,28,100,128,Clear,"Clear, Few clouds, Partly cloudy"
3715,,2,0,6,16,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8788,0.4,0.2239,34,199,233,Clear,"Clear, Few clouds, Partly cloudy"
3716,,2,0,6,17,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8485,0.35,0.2239,80,426,506,Clear,"Clear, Few clouds, Partly cloudy"
3717,,2,0,6,18,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.9,0.8182,0.37,0.2239,61,398,459,Clear,"Clear, Few clouds, Partly cloudy"
3718,,2,0,6,19,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.803,0.59,0.1343,61,323,384,Clear,"Clear, Few clouds, Partly cloudy"
3719,,2,0,6,20,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.7879,0.63,0.1343,55,225,280,Clear,"Clear, Few clouds, Partly cloudy"
3720,,2,0,6,21,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.8,0.803,0.66,0.1343,34,168,202,Clear,"Clear, Few clouds, Partly cloudy"
3721,,2,0,6,22,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.7424,0.75,0.1642,37,139,176,Clear,"Clear, Few clouds, Partly cloudy"
3722,,2,0,6,23,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.7424,0.75,0.194,18,98,116,Clear,"Clear, Few clouds, Partly cloudy"
3723,,2,0,6,0,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.74,0.7121,0.79,0.1343,7,40,47,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3724,,2,0,6,1,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.7121,0.79,0.1045,3,13,16,Clear,"Clear, Few clouds, Partly cloudy"
3725,,2,0,6,2,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.7121,0.84,0.1642,0,6,6,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3726,,2,0,6,3,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.7121,0.84,0.1045,0,2,2,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3727,,2,0,6,4,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.697,0.79,0.0896,2,4,6,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3728,,2,0,6,5,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.7,0.6667,0.84,0.0,1,19,20,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3729,,2,0,6,6,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.7121,0.84,0.0896,13,105,118,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3730,,2,0,6,7,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.72,0.697,0.79,0.1343,31,283,314,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3731,,2,0,6,8,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.76,0.7273,0.7,0.1045,32,400,432,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3732,,2,0,6,9,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7879,0.49,0.0,20,148,168,Clear,"Clear, Few clouds, Partly cloudy"
3733,,2,0,6,10,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.86,0.8182,0.5,0.2836,20,74,94,Clear,"Clear, Few clouds, Partly cloudy"
3734,,2,0,6,11,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.9,0.8485,0.42,0.2239,36,82,118,Clear,"Clear, Few clouds, Partly cloudy"
3735,,2,0,6,12,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8485,0.35,0.194,40,100,140,Clear,"Clear, Few clouds, Partly cloudy"
3736,,2,0,6,13,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.9,0.8182,0.37,0.0896,18,118,136,Clear,"Clear, Few clouds, Partly cloudy"
3737,,2,0,6,14,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8788,0.4,0.194,25,93,118,Clear,"Clear, Few clouds, Partly cloudy"
3738,,2,0,6,15,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.94,0.8333,0.31,0.1642,18,86,104,Clear,"Clear, Few clouds, Partly cloudy"
3739,,2,0,6,16,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.92,0.8333,0.33,0.1343,30,170,200,Clear,"Clear, Few clouds, Partly cloudy"
3740,,2,0,6,17,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.9,0.8182,0.37,0.2537,54,355,409,Clear,"Clear, Few clouds, Partly cloudy"
3741,,2,0,6,18,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.88,0.803,0.39,0.2836,52,414,466,Clear,"Clear, Few clouds, Partly cloudy"
3742,,2,0,6,19,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.84,0.7424,0.39,0.3284,55,271,326,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3743,,2,0,6,20,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.8,0.7273,0.43,0.194,40,214,254,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3744,,2,0,6,21,0,4,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.76,0.697,0.52,0.0,29,142,171,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
3745,,2,0,6,22,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.74,0.6818,0.58,0.1642,22,131,153,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3746,,2,0,6,23,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.74,0.697,0.57,0.1642,15,82,97,Mist,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
3747,,2,0,6,0,0,5,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.7,0.6515,0.65,0.2239,8,61,69,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
3748,,2,0,6,1,0,5,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.7,0.6515,0.65,0.2239,5,18,23,Light Snow/Rain,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
3749,,2,0,6,2,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.69,0.1642,6,7,13,Clear,"Clear, Few clouds, Partly cloudy"
3750,,2,0,6,3,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.68,0.6364,0.69,0.1642,3,3,6,Clear,"Clear, Few clouds, Partly cloudy"
3751,,2,0,6,4,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6061,0.78,0.1642,0,4,4,Clear,"Clear, Few clouds, Partly cloudy"
3752,,2,0,6,5,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6061,0.78,0.1642,0,28,28,Clear,"Clear, Few clouds, Partly cloudy"
3753,,2,0,6,6,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.66,0.6061,0.78,0.0896,10,94,104,Clear,"Clear, Few clouds, Partly cloudy"
3754,,2,0,6,7,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.72,0.6818,0.66,0.1045,25,242,267,Clear,"Clear, Few clouds, Partly cloudy"
3755,,2,0,6,8,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.74,0.6818,0.58,0.1343,29,423,452,Clear,"Clear, Few clouds, Partly cloudy"
3756,,2,0,6,9,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.76,0.697,0.55,0.0,37,176,213,Clear,"Clear, Few clouds, Partly cloudy"
3757,,2,0,6,10,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.78,0.7121,0.52,0.0,23,88,111,Clear,"Clear, Few clouds, Partly cloudy"
3758,,2,0,6,11,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7576,0.46,0.0,46,107,153,Clear,"Clear, Few clouds, Partly cloudy"
3759,,2,0,6,12,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7576,0.44,0.1343,40,167,207,Clear,"Clear, Few clouds, Partly cloudy"
3760,,2,0,6,13,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7576,0.44,0.1045,40,149,189,Clear,"Clear, Few clouds, Partly cloudy"
3761,,2,0,6,14,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.86,0.7727,0.39,0.0,44,121,165,Clear,"Clear, Few clouds, Partly cloudy"
3762,,2,0,6,15,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.84,0.7576,0.44,0.1045,49,163,212,Clear,"Clear, Few clouds, Partly cloudy"
3763,,2,0,6,16,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.82,0.7879,0.56,0.2985,46,239,285,Clear,"Clear, Few clouds, Partly cloudy"
